DataOperacao,PredicaoIA,Candle,Close,Open,High,Low,CandleCorpoPct,CandlePavioSuperiorPct,CandlePavioInferiorPct,Profit,ProfitPct,ProfitAcumulado,ProfitJurosComposto
21/04/2019 00:00,Long,DOWN,168.59,172.89,173.48,164.82,3,0.34,2.24,Loss,3,53.75,1537.5
22/04/2019 00:00,Long,UP,170.52,168.59,172.3,167,1.13,1.04,0.94,Gain,1.13,54.88,1548.8
23/04/2019 00:00,Short,DOWN,169.16,170.52,175.83,167.78,3,3.11,0.82,Loss,3,51.88,1518.8
24/04/2019 00:00,Long,DOWN,164.78,169.15,169.87,159.26,3,0.43,3.35,Loss,3,48.88,1488.8
25/04/2019 00:00,Short,DOWN,154.72,164.78,165.49,150.35,6.11,0.43,2.82,Gain,6.11,54.99,1549.9
26/04/2019 00:00,Long,UP,157.95,154.7,162.56,151.4,2.06,2.92,2.13,Gain,2.06,57.05,1570.5
27/04/2019 00:00,Short,UP,159.31,157.93,166.24,156.35,3,4.35,1,Loss,3,54.05,1540.5
28/04/2019 00:00,Long,DOWN,157.85,159.32,160.24,156.92,0.92,0.58,0.59,Loss,0.92,53.13,1531.3
29/04/2019 00:00,Long,DOWN,155.11,157.86,159.05,152,3,0.75,2.01,Loss,3,50.13,1501.3
30/04/2019 00:00,Long,UP,161.83,155.14,162.89,155.11,4.13,0.66,0.02,Gain,4.13,54.26,1542.6
01/05/2019 00:00,Short,DOWN,160.19,161.85,163.88,158.36,1.03,1.25,1.14,Gain,1.03,55.29,1552.9
02/05/2019 00:00,Long,UP,161.81,160.2,163.48,158.5,0.99,1.03,1.06,Gain,0.99,56.28,1562.8
03/05/2019 00:00,Short,UP,168.06,161.82,170.86,160.99,3,1.67,0.51,Loss,3,53.28,1532.8
04/05/2019 00:00,Short,DOWN,163.7,168.1,171.3,159.76,2.62,1.9,2.41,Gain,2.62,55.9,1559
05/05/2019 00:00,Long,DOWN,163.05,163.71,165.36,159.18,0.4,1.01,2.37,Loss,0.4,55.5,1555
06/05/2019 00:00,Short,UP,173,163.05,178.05,157.55,3,2.92,3.37,Loss,3,52.5,1525
07/05/2019 00:00,Short,DOWN,169.18,172.98,182.76,167.89,3,5.65,0.76,Loss,3,49.5,1495
08/05/2019 00:00,Long,UP,170.85,169.07,173.17,164.8,1.04,1.36,2.53,Gain,1.04,50.54,1505.4
09/05/2019 00:00,Short,UP,170.9,170.88,173.88,166.57,0.01,1.74,2.52,Loss,0.01,50.53,1505.3
10/05/2019 00:00,Short,UP,172.91,170.96,176.7,168.46,3,2.19,1.46,Loss,3,47.53,1475.3
11/05/2019 00:00,Long,UP,190.2,172.92,205.23,172.92,9.09,7.9,0,Gain,9.09,56.62,1566.2
12/05/2019 00:00,Short,DOWN,188.11,190.2,204.32,181,3,7.42,3.78,Loss,3,53.62,1536.2
13/05/2019 00:00,Long,UP,195.84,188.07,206.87,185.32,3.97,5.63,1.46,Gain,3.97,57.59,1575.9
14/05/2019 00:00,Long,UP,216.4,195.83,219.81,194.19,9.51,1.58,0.84,Gain,9.51,67.1,1671
15/05/2019 00:00,Short,UP,248.1,216.4,250.27,216.21,3,0.87,0.09,Loss,3,64.1,1641
16/05/2019 00:00,Short,UP,264.25,248.06,279.76,241.76,3,5.87,2.54,Loss,3,61.1,1611
17/05/2019 00:00,Long,DOWN,244.3,264.35,268.74,223.43,3,1.66,8.54,Loss,3,58.1,1581
18/05/2019 00:00,Long,DOWN,233.6,244.31,248,230.62,3,1.51,1.28,Loss,3,55.1,1551
